"METODE","FAILS1","FAILS2","SAKRITIBAS_PROCENTS","KONCEPTU_SAKRITIBA","FRAZU_SAKRITIBA","KLASIFIKACIJA","N_VERTIBA","LOGA_IZMERS","STOPVARDU_SKAITS","KONCEPTU_SVARS","FRAZU_SVARS"
"Simbolu N-Gramas","9_ORIGINAL","9_pilnaKopija",1,1,1,1,3,0,0,1,0
"Simbolu N-Gramas","9_ORIGINAL","9_pilnaKopija",1,1,1,1,5,0,10,1,0
"Vardu N-Gramas","9_ORIGINAL","9_pilnaKopija",1,1,1,1,3,0,5,0.5,0.5
"Hesa metode","9_ORIGINAL","9_pilnaKopija",1,1,1,1,2,2,5,1,0
"Hesa metode","9_ORIGINAL","9_pilnaKopija",1,1,1,1,2,2,5,0.5,0.5
"Simbolu N-Gramas","9_ORIGINAL","9_pilnaKopija",1,1,1,1,3,0,0,0.5,0.5
"Simbolu N-Gramas","9_ORIGINAL","9_pilnaKopija",1,1,1,1,5,0,10,0.5,0.5
"Vardu N-Gramas","9_ORIGINAL","9_pilnaKopija",1,1,1,1,3,0,5,0,1
"Hesa metode","9_ORIGINAL","9_pilnaKopija",1,1,1,1,2,2,5,0,1
"Simbolu N-Gramas","9_ORIGINAL","9_pilnaKopija",1,1,1,1,3,0,0,0,1
"Simbolu N-Gramas","9_ORIGINAL","9_pilnaKopija",1,1,1,1,5,0,10,0,1
"Vardu N-Gramas","9_ORIGINAL","9_pilnaKopija",1,1,1,1,3,0,10,1,0
"Hesa metode","9_ORIGINAL","9_pilnaKopija",1,1,1,1,2,2,10,1,0
"Simbolu N-Gramas","9_ORIGINAL","9_pilnaKopija",1,1,1,1,3,0,5,1,0
"Vardu N-Gramas","9_ORIGINAL","9_pilnaKopija",1,1,1,1,3,0,10,0.5,0.5
"Hesa metode","9_ORIGINAL","9_pilnaKopija",1,1,1,1,2,2,10,0.5,0.5
"Simbolu N-Gramas","9_ORIGINAL","9_pilnaKopija",1,1,1,1,3,0,5,0.5,0.5
"Vardu N-Gramas","9_ORIGINAL","9_pilnaKopija",1,1,1,1,2,0,0,1,0
"Vardu N-Gramas","9_ORIGINAL","9_pilnaKopija",1,1,1,1,2,0,0,0.5,0.5
